year,state,home_ownership
1993,WY,67.1
1994,WY,65.8
1995,WY,69.0
1996,WY,68.0
1997,WY,67.6
1998,WY,70.0
1999,WY,69.8
2000,WY,71.0
2001,WY,73.5
2002,WY,73.0
2003,WY,72.9
2004,WY,72.8
2005,WY,72.8
2006,WY,73.7
2007,WY,73.2
2008,WY,73.3
2009,WY,73.8
2010,WY,73.4
2011,WY,71.1
2012,WY,70.3
2013,WY,70.5
2014,WY,70.8
2015,WY,69.9
2016,WY,70.2
2017,WY,70.4
2018,WY,71.1
2019,WY,71.3
2020,WY,73.9
2021,WY,72.1
2022,WY,75.3
2023,WY,74.5
1984,HI,50.7
1985,HI,51.0
1986,HI,50.9
1987,HI,50.7
1988,HI,53.2
1989,HI,54.7
1990,HI,55.5
1991,HI,55.2
1992,HI,53.8
1993,HI,52.8
1994,HI,52.3
1995,HI,50.2
1996,HI,50.6
1997,HI,50.2
1998,HI,52.8
1999,HI,56.6
2000,HI,55.2
2001,HI,55.5
2002,HI,57.9
2003,HI,58.3
2004,HI,60.6
2005,HI,59.8
2006,HI,59.9
2007,HI,60.1
2008,HI,59.1
2009,HI,59.5
2010,HI,56.1
2011,HI,55.4
2012,HI,57.2
2013,HI,57.3
2014,HI,58.4
2015,HI,59.3
2016,HI,57.7
2017,HI,55.9
2018,HI,59.5
2019,HI,60.0
2020,HI,58.8
2021,HI,58.1
2022,HI,59.2
2023,HI,61.8
1984,ND,70.1
1985,ND,69.9
1986,ND,69.2
1987,ND,68.9
1988,ND,67.7
1989,ND,67.1
1990,ND,67.2
1991,ND,65.4
1992,ND,63.7
1993,ND,62.7
1994,ND,63.3
1995,ND,67.3
1996,ND,68.2
1997,ND,68.1
1998,ND,68.0
1999,ND,70.1
2000,ND,70.7
2001,ND,71.0
2002,ND,69.4
2003,ND,68.7
2004,ND,70.0
2005,ND,68.5
2006,ND,68.3
2007,ND,66.0
2008,ND,66.6
2009,ND,65.7
2010,ND,67.1
2011,ND,68.3
2012,ND,66.2
2013,ND,68.0
2014,ND,64.5
2015,ND,61.8
2016,ND,61.4
2017,ND,62.6
2018,ND,61.9
2019,ND,61.4
2020,ND,64.2
2021,ND,63.5
2022,ND,65.4
2023,ND,65.7
1984,KY,70.2
1985,KY,68.5
1986,KY,68.1
1987,KY,67.6
1988,KY,65.4
1989,KY,64.9
1990,KY,65.8
1991,KY,67.2
1992,KY,69.0
1993,KY,68.76
1994,KY,70.6
1995,KY,71.2
1996,KY,73.2
1997,KY,75.0
1998,KY,75.1
1999,KY,73.9
2000,KY,73.4
2001,KY,73.9
2002,KY,73.7
2003,KY,74.4
2004,KY,73.3
2005,KY,71.6
2006,KY,71.7
2007,KY,72.9
2008,KY,72.8
2009,KY,71.2
2010,KY,70.3
2011,KY,69.1
2012,KY,68.7
2013,KY,67.5
2014,KY,67.6
2015,KY,67.9
2016,KY,67.9
2017,KY,70.1
2018,KY,69.8
2019,KY,69.5
2020,KY,72.5
2021,KY,72.1
2022,KY,71.4
2023,KY,69.4
1984,ME,74.1
1985,ME,73.7
1986,ME,74.0
1987,ME,73.2
1988,ME,72.2
1989,ME,73.6
1990,ME,74.2
1991,ME,72.0
1992,ME,72.0
1993,ME,71.9
1994,ME,72.6
1995,ME,76.7
1996,ME,76.5
1997,ME,74.9
1998,ME,74.6
1999,ME,77.4
2000,ME,76.5
2001,ME,75.5
2002,ME,74.0
